review,aspects,opinions,aspect_categories,length
次在苏宁上购物次在苏宁购买手机购物体验很棒当天发货顺丰快递很快商品是正品14比15性价比更高优惠程度更高非常实惠非常愉快的一次购物体验好评,"苏宁,购物,苏宁,手机,购物,体验,发货,商品,正品,性价比,程度,购物,体验","很棒,愉快","服务,价格",69
电池续航电池续航还可以昨天收到货就开始用了,"电池,续航,电池,续航,货",,续航,21
拍照效果苹果手机的拍照效果没得说非常得好买不起苹果15只能买苹果14了,"效果,苹果,手机,效果,苹果,苹果",,其他,35
显示效果高清晰显示非常的丝滑用起来很舒服,"效果,高清晰,丝滑用",舒服,拍照,20
运行速度运行速度比较丝滑非常的满意感谢苏宁一次快乐的购物体验,"速度,速度,丝滑,苏宁,购物,体验",快乐,性能,30
电池续航好,"电池,续航",,续航,5
拍照效果清楚,效果,清楚,其他,6
显示效果清晰,效果,清晰,其他,6
运行速度运行稳定,速度,稳定,性能,8
运行很快价格实惠值得购买,价格,,价格,12
电池续航还可以正常玩一天,"电池,续航",,续航,12
拍照效果完美,效果,完美,其他,6
显示效果不错,效果,不错,其他,6
运行速度两个字流畅,"速度,字",流畅,性能,9
挑选了很久决定买这一款手机是买给男朋友的前细细的问了客服很多问题客服也都耐心回答态度特别好后是在对象所在地附近发的货第二天早上就到了是新机整体外观也都不错美中不足的就是用了没多久就会容易发烫特别暖和按照某书上的方法设置了一下发烫缓解了很多不过也依然温暖还能接受偶尔也会卡顿不知道是不是新机的原因总体还可以,"手机,男朋友,前,客服,问题,客服,态度,对象,所在地,货,新机,整体,外观,方法,新机,原因,总体","耐心,不错,容易,暖和,温暖","服务,外观",152
手机收到了送给侄女的生日没想到过年期间苏宁发货速度还这么快而且快递直接送上门真的很给力手机已经给了侄女她很开心手机运行速度很快白色的颜值很高总之侄女很满意,"手机,侄女,苏宁,发货,速度,力,手机,侄女,手机,速度,白色,颜值,侄女",直接,"服务,外观,性能",77
6G运行内存啊流畅玩不卡顿而且信号也比以前好了很多,"内存,信号",流畅,其他,25
换掉了使用三年的苹果11买了两台一台一台的果断放弃了机虽然便宜将近三百但是担心买到后封的翻新机手机用了半个来月才来评价相比iphone11提升不少喜欢大屏和续航正常不玩游戏刷抖音用用可以用一天半相信官方店的品质显示效果Oled屏比Icd屏颜色更鲜艳通信音质通话清晰铃声比之前11要大,"苹果,机,机,手机,评价,大屏,续航,玩游戏,音用,官方,店,品质,效果,屏比,屏,颜色,音质,通话,铃声","便宜,鲜艳,清晰","续航,外观",141
显示效果分辨率很不错,"效果,分辨率",不错,屏幕,10
拍照效果非常清晰,效果,清晰,其他,8
电池续航续航能力还不错冬天嘛所有手机肯定都会差一点,"电池,续航,续航,能力,手机",不错,续航,25
过年期间家人手机坏掉了正好看见苏宁有活动就直接购买了发货速度非常快初七就收到货啦,"家人,手机,苏宁,发货,速度,货","正好,直接","服务,性能",40
趁着活动赶紧入手送给老婆价格很划算手机也不错很喜欢,"老婆,价格,手机",不错,价格,25
这手机真是太棒了外观设计时尚大气手感非常舒适屏幕显示清晰细腻色彩鲜艳观影效果超赞拍照效果也非常出色照片清晰度高色彩还原度很高手机的性能也很强大操作流畅打开大型应用和游戏也没有任何卡顿电池续航能力很强一次充满电可以使用一整天总之这是一款非常满意的手机值得推荐,"手机,太棒了,外观设计,时尚,大气,手感,屏幕显示,观影,效果,效果,照片,清晰度,色彩,手机,性能,游戏,电池,续航,能力,电,手机","舒适,清晰,细腻,强大,流畅,充满","性能,外观,续航,屏幕,拍照",128
服务还不错真棒,真棒,不错,其他,7
紫色外观挺好看的拿着轻薄手感佳运行流畅度挺高拍照效果还可以各方面体验都挺满意的,"紫色,外观,手感,效果,方面,体验","轻薄,流畅",外观,39
手机不错喜欢颜值一直在线拿回来就迫不及待的使用起来了,"手机,颜值",不错,外观,26
真的很不错啊爱不释手终于换手机了安卓手机真的太卡了卡的不行了不得不说苹果手机还是流畅一些爱了爱了续航也很不错啊希望又能用几年吧,"手机,安卓,手机,太卡,卡,苹果,手机,续航","不错,流畅,不错",续航,63
上门发货快非常好,"上门,发货",,服务,8
星光色yyds啊趁着15快出来了降价价格便宜了入手了一个苏宁发货速度快啊续航也不错拍照嘎嘎清晰运行速度没话说,"星光,色,降价,价格便宜,苏宁,发货,速度,续航,速度","不错,清晰","价格,续航,服务,性能",54
